"cohort","labanimalid","rfid","sex","box","sha_mean_delta_esc_08_10","sha_mean_08_10","sha_mean_inactive_08_10","sha_mean_to_08_10","sha_loading_phase_intake_08_10","sha_titration_phase_08_10","sha_iti_median_08_10","sha_mean_iti","sha_behavior_stability_08_10","sha_behavior_stability_08_10_na","sha_mean_01_03","sha_mean_inactive_01_03","sha_mean_to_01_03","sha_loading_phase_intake_01_03","sha_titration_phase_01_03","sha_iti_median_01_03","sha_mean_iti_2","sha_behavior_stability_01_03","sha_sd_iti_na_2","sha_rewards_first1hr_2","lga_mean_delta_esc_12_14","lga_mean_12_14","lga_mean_inactive_12_14","lga_mean_to_12_14","lga_loading_phase_intake_12_14","lga_titration_phase_12_14","lga_iti_median_12_14","lga_mean_iti","lga_behavior_stability_12_14","lga_behavior_stability_12_14_na","shock_03","shock_03_pre","shock_03_avg1h","irr_age","irr_agg_change","irr_def_change","irr_total_change","pr_01_sha","pr_02_lga","pr_03_postshock","pr_01_sha_breakpoint","pr_02_lga_breakpoint","pr_03_postshock_breakpoint","pr_max_02_03","pr_max_02_03_breakpoint","weight_surgery","sha_01_age","sha_08_age","lga_12_age","shock_03_age","pr_01_age","pr_02_age","pr_03_age","sha_coefficient_of_variation","sha_coefficient_of_variation_2","lga_coefficient_of_variation","addiction_index_no_sex_z","add_index_sexcohort_z","add_ind_calc_no_z_shock_03","addiction_index_no_sex_z_shock_03_avg1h","add_index_palmer_shock_03_avg1h","add_ind_calc_no_z_shock_03_avg1h","add_ind_olivier","room"
"C13","F1430","933000320048710","F","14.0",-0.7806792071662407,5.333333333333333,3.0,0.6666666666666666,2.0,7.0,1293.0,NULL,849.9604028368219,849.9604028368219,3.6666666666666665,7.666666666666668,3.0,4.0,4.0,NULL,NULL,1514.9954568826272,NULL,NULL,0.12784357819371314,90.66666666666669,1.6666666666666667,10.333333333333334,4.0,65.0,58.0,NULL,692.270400755708,692.270400755708,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,nan,6.0,1.0,nan,1.0,1.0,126.0,54.0,63.0,84.0,92.0,68.0,89.0,96.0,0.6093242107024752,0.8056879382477576,2.99910999489927,-0.6308528630408817,-0.5991912056953789,nan,nan,nan,nan,nan,"BSB273C"
"C14","F1513","933000320188273","F","5.0",-0.3486136762727503,12.666666666666664,10.333333333333334,6.333333333333332,nan,nan,nan,NULL,nan,nan,0.3333333333333333,0.6666666666666666,0.0,nan,nan,NULL,NULL,nan,NULL,NULL,0.602902844444635,133.33333333333334,1.3333333333333333,25.33333333333333,28.0,65.0,167.0,NULL,85.78490663586305,85.78490663586305,19.0,-0.5476190476190477,-0.28750000000000003,nan,nan,nan,nan,10.0,6.0,11.0,40.0,15.0,50.0,11.0,50.0,155.0,60.0,79.0,102.0,109.0,85.0,107.0,113.0,nan,nan,0.5267761973432372,0.796320732539729,0.6136430433544303,1.1021182808211087,-0.06264127657455518,0.14224935082133236,-0.11246115965924268,0.3682507874385807,"BSB273B"
"C14","M1588","933000320188124","M","2.0",-0.702898843732353,4.666666666666667,1.6666666666666667,1.0,4.0,6.0,869.0,NULL,1092.9433230675854,1084.0081595633862,5.333333333333333,4.0,2.6666666666666665,6.0,5.0,NULL,NULL,669.3042488396386,NULL,NULL,-1.51247215423875,11.666666666666664,0.0,0.0,1.0,6.0,662.0,NULL,1992.1949484376144,1992.1949484376144,15.0,6.5,5.428571428571428,nan,nan,nan,nan,2.0,14.0,11.0,2.0,95.0,50.0,14.0,95.0,221.0,65.0,84.0,107.0,114.0,90.0,112.0,118.0,0.8812120907237001,0.8463964236298932,1.706930632180742,-0.15988141708355855,0.0426085025861083,0.4762923223649013,4.357633403161857,3.168116938826618,1.5125793228284234,-0.1420005594391475,"BSB273E"
"C15","M1665","933000320187985","M","13.0",0.12866308047455668,17.666666666666668,1.6666666666666667,2.0,6.0,27.0,366.5,NULL,222.3861506479214,222.3861506479214,2.6666666666666665,1.6666666666666667,0.3333333333333333,2.0,1.0,NULL,NULL,505.2744204885104,NULL,NULL,1.224120570311436,122.66666666666669,0.6666666666666666,9.333333333333334,18.0,59.0,177.0,NULL,98.82161421238463,98.82161421238463,nan,nan,nan,nan,nan,nan,nan,5.0,7.0,nan,12.0,20.0,nan,7.0,20.0,164.0,57.0,68.0,90.0,98.0,71.0,96.0,103.0,0.5389872773822622,0.6724439985207751,0.5600218790758972,0.3240971240533342,0.5049551079356518,nan,nan,nan,nan,nan,"BSB273D"
"C01","M34","933000120117336","M","12.0",-0.2212703220439056,5.0,0.0,0.0,0.666666666666667,1.6666666666666698,375.0,NULL,179.258522649122,179.258522649122,4.0,5.0,1.0,nan,nan,NULL,NULL,nan,NULL,NULL,0.6587934998763416,114.33333333333331,0.0,7.66666666666667,6.66666666666667,18.6666666666667,200.0,NULL,43.7917896772925,43.7917896772925,22.0,nan,-0.0571428571428571,nan,nan,nan,nan,4.0,12.0,17.0,9.0,62.0,178.0,17.0,178.0,267.0,78.0,87.0,108.0,122.0,92.0,114.0,117.0,0.428994755057728,nan,0.218749169090707,1.1655434033355645,1.5493214180586308,1.5193355864585802,nan,0.0496574014131895,nan,1.229850262284654,"NaN"
"C02","M168","933000120138322","M","13.0",-0.7551015601567923,1.0,0.0,nan,nan,nan,nan,NULL,nan,nan,1.6666666666666667,0.6666666666666666,nan,nan,nan,NULL,NULL,nan,NULL,NULL,0.7576464807049894,157.0,0.3333333333333333,nan,nan,nan,nan,NULL,nan,nan,nan,nan,nan,54.0,1.0,0.0,1.0,2.0,11.0,13.0,4.0,50.0,77.0,13.0,77.0,189.0,55.0,64.0,85.0,103.0,69.0,91.0,98.0,nan,nan,nan,0.1470757746468283,0.32405362990767256,-0.0452293096819382,nan,nan,nan,0.3440361772821852,"NaN"
"C03","M366","933000120138384","M","16.0",-0.5288888486373329,2.0,0.6666666666666666,nan,nan,nan,nan,NULL,nan,nan,3.333333333333333,1.0,nan,nan,nan,NULL,NULL,nan,NULL,NULL,0.5823504771576019,112.0,0.0,nan,nan,nan,nan,NULL,nan,nan,22.0,0.1,nan,70.0,-0.3333333333333335,2.666666666666666,2.3333333333333326,0.0,13.0,13.0,1.0,77.0,77.0,13.0,77.0,262.0,73.0,82.0,104.0,118.0,88.0,110.0,115.0,nan,nan,nan,0.6891705000260043,1.025646464629174,1.2064226072304765,nan,nan,nan,0.8367291451576765,"NaN"
"C04","M469","933000120138668","M","9.0",-0.7517949367528592,1.6666666666666667,4.666666666666667,nan,nan,nan,nan,NULL,nan,nan,2.333333333333333,1.6666666666666667,nan,nan,nan,NULL,NULL,nan,NULL,NULL,0.8170285469426194,130.66666666666666,0.0,13.666666666666698,5.66666666666667,18.0,166.666666666667,NULL,69.8601944901808,69.8601944901808,8.0,-0.7142857142857143,-0.6712328767123289,53.0,6.333333333333334,1.333333333333333,7.666666666666668,2.0,8.0,11.0,4.0,25.0,50.0,11.0,50.0,194.0,56.0,65.0,86.0,101.0,70.0,92.0,95.0,nan,nan,0.377218106096541,0.10663693501619524,0.3894659931892393,-0.0452293096819382,nan,0.231523797750807,nan,0.33198237954259985,"NaN"
"C05","M564","933000120138417","M","10.0",-0.11997511885164525,2.6666666666666665,4.0,2.0,1.0,5.0,1374.0,NULL,1215.8183087945336,1215.8183087945336,0.3333333333333333,0.0,0.0,1.0,0.0,NULL,NULL,nan,NULL,NULL,-0.7298725148224464,17.333333333333332,0.3333333333333333,0.3333333333333333,4.0,9.0,1013.0,NULL,1163.5535990773542,1163.5535990773542,6.0,-0.625,0.6363636363636365,74.0,nan,nan,nan,2.0,12.0,1.0,4.0,62.0,2.0,12.0,62.0,264.0,77.0,86.0,107.0,122.0,91.0,114.0,119.0,0.5948812549146363,nan,0.8930084792041719,-0.2534692734388973,0.05273967046091932,-0.4624466153194098,0.8698227254831565,1.7624309917576426,0.15018702942477402,-0.540228069168611,"MED1113"
"C07","M752","933000320046088","M","16.0",-0.5323454083678053,2.6666666666666665,3.333333333333333,1.0,1.0,3.0,361.0,NULL,1833.4201264303824,2139.2226521696043,0.6666666666666666,4.0,0.3333333333333333,0.0,0.0,NULL,NULL,nan,NULL,NULL,-1.9659461269727028,3.6666666666666665,6.333333333333332,0.6666666666666666,2.0,2.0,8065.0,NULL,7509.2150203747815,9173.0,nan,nan,nan,69.0,-3.0,-5.5,-8.5,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,260.0,72.0,81.0,103.0,110.0,86.0,108.0,115.0,1.4705005826358537,nan,0.8504528317839233,-1.4350163623310086,-1.4624665809808468,-0.8796639209568814,nan,nan,nan,-1.2288205514888726,"MED1113"
